epoch,step,train_loss,val_loss
0,0,166.97442626953125,
0,0,,172.00491333007812
1,1,165.76966857910156,
1,1,,170.7677001953125
2,2,164.5882110595703,
2,2,,169.55311584472656
3,3,163.43101501464844,
3,3,,168.3596649169922
4,4,162.2917938232422,
4,4,,167.17051696777344
5,5,161.15530395507812,
5,5,,165.9816131591797
6,6,160.01963806152344,
6,6,,164.80787658691406
7,7,158.90042114257812,
7,7,,163.64736938476562
8,8,157.79367065429688,
8,8,,162.48611450195312
9,9,156.68397521972656,
9,9,,161.335205078125
