epoch,step,train_loss,val_loss
0,0,147.01266479492188,
0,0,,147.6681365966797
1,1,145.99229431152344,
1,1,,146.63848876953125
2,2,144.98394775390625,
2,2,,145.61305236816406
3,3,143.97618103027344,
3,3,,144.59429931640625
4,4,142.9754638671875,
4,4,,143.57440185546875
5,5,141.97349548339844,
5,5,,142.5603790283203
6,6,140.97726440429688,
6,6,,141.54454040527344
7,7,139.97940063476562,
7,7,,140.52520751953125
8,8,138.9796142578125,
8,8,,139.51364135742188
9,9,137.98532104492188,
9,9,,138.52200317382812
10,10,137.01174926757812,
10,10,,137.54019165039062
11,11,136.04734802246094,
11,11,,136.56503295898438
12,12,135.09022521972656,
12,12,,135.58929443359375
13,13,134.13327026367188,
13,13,,134.61141967773438
14,14,133.17478942871094,
14,14,,133.6449432373047
15,15,132.22463989257812,
15,15,,132.6776580810547
16,16,131.27224731445312,
16,16,,131.7081756591797
17,17,130.31764221191406,
17,17,,130.73521423339844
18,18,129.36126708984375,
18,18,,129.76568603515625
19,19,128.40756225585938,
19,19,,128.79544067382812
20,20,127.45411682128906,
20,20,,127.82305145263672
21,21,126.49871826171875,
21,21,,126.86453247070312
22,22,125.55562591552734,
22,22,,125.91297912597656
23,23,124.62086486816406,
23,23,,124.95673370361328
24,24,123.68238067626953,
24,24,,123.99846649169922
25,25,122.73944091796875,
25,25,,123.04896545410156
26,26,121.80740356445312,
26,26,,122.10651397705078
27,27,120.88190460205078,
27,27,,121.16352081298828
28,28,119.9557113647461,
28,28,,120.22030639648438
29,29,119.03021240234375,
29,29,,119.27141571044922
30,30,118.09849548339844,
30,30,,118.32526397705078
31,31,117.16890716552734,
31,31,,117.37531280517578
32,32,116.23410034179688,
32,32,,116.41495513916016
33,33,115.28857421875,
33,33,,115.44780731201172
34,34,114.33651733398438,
34,34,,114.48121643066406
35,35,113.38743591308594,
35,35,,113.50923919677734
36,36,112.43209838867188,
36,36,,112.53287506103516
37,37,111.47347259521484,
37,37,,111.55332946777344
38,38,110.50950622558594,
38,38,,110.56742095947266
39,39,109.54048156738281,
39,39,,109.5787353515625
40,40,108.57022857666016,
40,40,,108.58659362792969
41,41,107.59837341308594,
41,41,,107.59405517578125
42,42,106.62510681152344,
42,42,,106.60309600830078
43,43,105.65343475341797,
43,43,,105.60224151611328
44,44,104.67093658447266,
44,44,,104.58969116210938
45,45,103.67613983154297,
45,45,,103.57230377197266
46,46,102.67716217041016,
46,46,,102.54595184326172
47,47,101.66927337646484,
47,47,,101.51615142822266
48,48,100.65885162353516,
48,48,,100.48141479492188
49,49,99.64361572265625,
49,49,,99.43338775634766
50,50,98.61373901367188,
50,50,,98.36940002441406
51,51,97.56856536865234,
51,51,,97.29074096679688
52,52,96.50961303710938,
52,52,,96.19807434082031
53,53,95.43739318847656,
53,53,,95.09368896484375
54,54,94.354248046875,
54,54,,93.9757308959961
55,55,93.25739288330078,
55,55,,92.8447036743164
56,56,92.14723205566406,
56,56,,91.707763671875
57,57,91.03001403808594,
57,57,,90.56208038330078
58,58,89.90438842773438,
58,58,,89.4040298461914
59,59,88.76573944091797,
59,59,,88.23725128173828
60,60,87.61803436279297,
60,60,,87.06442260742188
61,61,86.46550750732422,
61,61,,85.88706970214844
62,62,85.30643463134766,
62,62,,84.70342254638672
63,63,84.14089965820312,
63,63,,83.499755859375
64,64,82.95877838134766,
64,64,,82.27786254882812
65,65,81.75924682617188,
65,65,,81.03870391845703
66,66,80.54200744628906,
66,66,,79.78054809570312
67,67,79.30711364746094,
67,67,,78.50709533691406
68,68,78.05746459960938,
68,68,,77.22532653808594
69,69,76.80073547363281,
69,69,,75.93123626708984
70,70,75.53244018554688,
70,70,,74.62300872802734
71,71,74.24818420410156,
71,71,,73.29732513427734
72,72,72.94629669189453,
72,72,,71.96334838867188
73,73,71.63603973388672,
73,73,,70.61612701416016
74,74,70.31272888183594,
74,74,,69.25130462646484
75,75,68.97217559814453,
75,75,,67.87030792236328
76,76,67.61515045166016,
76,76,,66.47360229492188
77,77,66.24323272705078,
77,77,,65.05854034423828
78,78,64.85366821289062,
78,78,,63.62504196166992
79,79,63.446468353271484,
79,79,,62.17424011230469
80,80,62.021793365478516,
80,80,,60.70685577392578
81,81,60.58077621459961,
81,81,,59.22138214111328
82,82,59.12297439575195,
82,82,,57.71742630004883
83,83,57.647003173828125,
83,83,,56.19506072998047
84,84,56.15129470825195,
84,84,,54.651756286621094
85,85,54.6348876953125,
85,85,,53.08539581298828
86,86,53.09629440307617,
86,86,,51.49949264526367
87,87,51.53827667236328,
87,87,,49.897178649902344
88,88,49.96381378173828,
88,88,,48.27557373046875
89,89,48.37101364135742,
89,89,,46.64082336425781
90,90,46.76559829711914,
90,90,,44.9901008605957
91,91,45.146121978759766,
91,91,,43.32969284057617
92,92,43.51639175415039,
92,92,,41.653663635253906
93,93,41.870479583740234,
93,93,,39.95571517944336
94,94,40.203216552734375,
94,94,,38.23387145996094
95,95,38.51323699951172,
95,95,,36.490699768066406
96,96,36.799930572509766,
96,96,,34.726383209228516
97,97,35.06708526611328,
97,97,,32.93775177001953
98,98,33.310821533203125,
98,98,,31.123775482177734
99,99,31.53009796142578,
99,99,,29.288063049316406
100,100,29.72879981994629,
100,100,,27.431303024291992
101,101,27.907947540283203,
101,101,,25.55204963684082
102,102,26.063623428344727,
102,102,,23.643924713134766
103,103,24.188610076904297,
103,103,,21.706857681274414
104,104,22.284433364868164,
104,104,,19.73979949951172
105,105,20.352245330810547,
105,105,,17.74474334716797
106,106,18.39251136779785,
106,106,,15.721734046936035
107,107,16.405662536621094,
107,107,,13.671911239624023
108,108,14.392159461975098,
108,108,,11.59978199005127
109,109,12.356269836425781,
109,109,,9.508397102355957
110,110,10.303227424621582,
110,110,,7.390585899353027
111,111,8.22359561920166,
111,111,,5.389981746673584
112,112,6.113903999328613,
112,112,,3.416585683822632
113,113,3.97941255569458,
113,113,,1.7702491283416748
114,114,1.8509032726287842,
114,114,,1.4886757135391235
115,115,0.7954405546188354,
115,115,,3.250077962875366
116,116,2.2588610649108887,
116,116,,4.707852840423584
117,117,3.657536268234253,
117,117,,5.743201732635498
118,118,4.666513919830322,
118,118,,6.396893501281738
119,119,5.30556583404541,
119,119,,6.706762313842773
120,120,5.608574867248535,
120,120,,6.710125923156738
121,121,5.610333442687988,
121,121,,6.57549524307251
122,122,5.477431774139404,
122,122,,6.320586204528809
123,123,5.226482391357422,
123,123,,5.959386825561523
124,124,4.870981216430664,
124,124,,5.504663467407227
